No,区市町村,名称,郵便番号,所在地,電話
285,府中市,府中恵仁会病院,183-8507,府中市住吉町5-21-1,042-365-1211 
286,府中市,公益財団法人日本心臓血圧研究振興会附属榊原記念病院,183-0003,府中市朝日町3-16-1,042-314-3111 
287,小金井市,医療法人社団大日会小金井太陽病院,184-0004,小金井市本町1-9-17,042-383-5511 
288,調布市,医療法人社団桐光会調布病院,182-0034,調布市下石原3-45-1,042-484-2626 
289,調布市,医療法人社団大坪会北多摩病院,182-0021,調布市調布ヶ丘4-1-1,042-486-8111 
290,調布市,医療法人社団東山会調布東山病院,182-0026,調布市小島町2-32-17,042-481-5511
291,狛江市,東京慈恵会医科大学附属第三病院,201-8601,狛江市和泉本町4-11-1,03-3480-1151 
292,武蔵野市,武蔵野赤十字病院,180-8610,武蔵野市境南町1-26-1,0422-32-3111 
293,武蔵野市,医療法人啓仁会吉祥寺南病院,180-0003,武蔵野市吉祥寺南町3-14-4,0422-45-2161 
294,武蔵野市,武蔵野陽和会病院,180-0012,武蔵野市緑町2-1-33,0422-52-3212 
295,武蔵野市,医療法人社団大隅会森本病院,180-0004,武蔵野市吉祥寺本町2-2-5,0422-22-5161 
296,武蔵野市,吉方病院,180-0006,武蔵野市中町2-2-4,0422-52-4371 
297,三鷹市,医療法人財団慈生会野村病院,181-0013,三鷹市下連雀8-3-6,0422-47-4848 
298,三鷹市,杏林大学医学部付属病院,181-8611,三鷹市新川6-20-2,0422-47-5511 
299,三鷹市,医療法人社団永寿会三鷹中央病院,181-0012,三鷹市上連雀5-23-10,0422-44-6161 
300,小平市,社会福祉法人多摩済生医療団多摩済生病院,187-0041,小平市美園町3-11-1,042-341-1611 
301,小平市,公立昭和病院,187-0002,小平市花小金井8-1-1,042-461-0052 
302,小平市,医療法人社団青葉会一橋病院,187-0045,小平市学園西町1-2-25,042-343-1311
303,西東京市,医療法人社団時正会佐々総合病院,188-0011,西東京市田無町4-24-15,042-461-1535 
304,西東京市,医療法人財団緑秀会田無病院,188-0002,西東京市緑町3-6-1,042-461-2682 
305,西東京市,医療法人沖縄徳洲会武蔵野徳洲会病院,188-0013,西東京市向台町3-5-48,042-465-0700
306,西東京市,医療法人社団東光会西東京中央総合病院,188-0014,西東京市芝久保町2-4-19,042-464-1511 
307,西東京市,保谷厚生病院,202-0006,西東京市栄町1-17-18,042-424-6640 
308,東村山市,特定医療法人社団愛有会久米川病院,189-0012,東村山市萩山町3-3-10,042-393-5511 
309,東村山市,緑風荘病院,189-0012,東村山市萩山町3-31-1,042-392-1101 
310,東村山市,公益財団法人東京都保健医療公社多摩北部医療センター,189-0002,東村山市青葉町1-7-1,042-396-3811 
311,東村山市,公益財団法人結核予防会新山手病院,189-0021,東村山市諏訪町3-6-1,042-391-1425
312,清瀬市,医療法人財団織本病院,204-0002,清瀬市旭が丘1-261,042-491-2121 
313,清瀬市,医療法人社団雅会山本病院,204-0004,清瀬市野塩1-328,042-491-0706 
314,清瀬市,公益財団法人結核予防会複十字病院,204-0022,清瀬市松山3-1-24,042-491-4111
315,清瀬市,独立行政法人国立病院機構東京病院,204-0023,清瀬市竹丘3-1-1,042-491-2111
316,東久留米市,医療法人社団好仁会滝山病院,203-0033,東久留米市滝山4-1-18,042-473-3311 
317,東久留米市,医療法人社団山本・前田記念会前田病院,203-0054,東久留米市中央町5-13-34,042-473-2133 
318,大島町,大島医療センター,100-0101,大島町元町3-2-9,04992-2-2345
319,八丈町,国民健康保険町立八丈病院,100-1511,八丈町三根26-11,04996-2-1188 
